"Gene","Base Mean","log2FC","LFC SE","p-value","FDR","Significant?","Ensembl ID","Symbol","MAP locus","Gene type","Gene description"
"ZNF8-DT",207.106,0.341,0.307,"1.37e-01","3.84e-01","No","ENSG00000268516","ZNF8-DT","19q13.43","ncRNA","ZNF8 divergent transcript"
"NPLOC4",843.735,0.341,0.319,"1.47e-01","3.99e-01","No","ENSG00000182446","NPLOC4","17q25.3","protein-coding","NPL4 homolog, ubiquitin recognition factor"
"ENSG00000287661",89.256,0.341,0.347,"1.69e-01","4.30e-01","No","ENSG00000287661",NA,NA,NA,NA
"MYCBPAP",75.493,0.341,0.355,"1.74e-01","4.36e-01","No","ENSG00000136449","MYCBPAP","17q21.33","protein-coding","MYCBP associated protein"
"LOC101929227",96.777,0.341,0.369,"1.81e-01","4.46e-01","No","ENSG00000250493","LOC101929227","11q23.3","ncRNA","uncharacterized LOC101929227"
"OTUB2",55.685,0.341,0.38,"1.87e-01","4.53e-01","No","ENSG00000089723","OTUB2","14q32.12","protein-coding","OTU deubiquitinase, ubiquitin aldehyde binding 2"
"MAEA",425.301,0.341,0.387,"1.90e-01","4.58e-01","No","ENSG00000090316","MAEA","4p16.3","protein-coding","macrophage erythroblast attacher, E3 ubiquitin ligase"
"DHX58",81.76,0.341,0.39,"1.91e-01","4.60e-01","No","ENSG00000108771","DHX58","17q21.2","protein-coding","DExH-box helicase 58"
"MRPL4",60.228,0.341,0.393,"1.92e-01","4.61e-01","No","ENSG00000105364","MRPL4","19p13.2","protein-coding","mitochondrial ribosomal protein L4"
"ENSG00000287483",20.842,0.341,0.472,"1.94e-01","4.63e-01","No","ENSG00000287483",NA,NA,NA,NA
"ENSG00000260729",17.787,0.341,0.466,"1.96e-01","4.66e-01","No","ENSG00000260729",NA,NA,NA,NA
"KDM8",53.381,0.341,0.402,"1.96e-01","4.66e-01","No","ENSG00000155666","KDM8","16p12.1","protein-coding","lysine demethylase 8"
"ENSG00000299283",37.878,0.341,0.406,"1.97e-01","4.67e-01","No","ENSG00000299283",NA,NA,NA,NA
"ENSG00000304697",23.573,0.341,0.421,"2.00e-01","4.70e-01","No","ENSG00000304697",NA,NA,NA,NA
"ENSG00000295864",19.305,0.341,0.444,"2.00e-01","4.71e-01","No","ENSG00000295864",NA,NA,NA,NA
"CD27",12.189,0.341,0.472,"1.94e-01"," NA","No","ENSG00000139193","CD27","12p13.31","protein-coding","CD27 molecule"
"ENSG00000254973",12.557,0.341,0.483,"1.89e-01"," NA","No","ENSG00000254973",NA,NA,NA,NA
"ENSG00000269895",10.202,0.341,0.512,"1.69e-01"," NA","No","ENSG00000269895",NA,NA,NA,NA
"ENSG00000287691",15.409,0.341,0.465,"1.96e-01"," NA","No","ENSG00000287691",NA,NA,NA,NA
"ENSG00000300182",10.317,0.341,0.501,"1.78e-01"," NA","No","ENSG00000300182",NA,NA,NA,NA
"HPS1-AS1",11.488,0.341,0.47,"1.94e-01"," NA","No","ENSG00000287261","HPS1-AS1","10q24.2","ncRNA","HPS1 antisense RNA 1"
"SNORA74A",290.17,0.34,0.58,"7.55e-02","2.75e-01","No","ENSG00000200959","SNORA74A","5q31.2","snoRNA","small nucleolar RNA, H/ACA box 74A"
"SLC25A37",422.224,0.34,0.293,"1.26e-01","3.67e-01","No","ENSG00000147454","SLC25A37","8p21.2","protein-coding","solute carrier family 25 member 37"
"COX19",236.912,0.34,0.321,"1.50e-01","4.03e-01","No","ENSG00000240230","COX19","7p22.3","protein-coding","cytochrome c oxidase assembly factor COX19"
"SQSTM1",549.725,0.34,0.352,"1.72e-01","4.34e-01","No","ENSG00000161011","SQSTM1","5q35.3","protein-coding","sequestosome 1"
"WNT7A",46.454,0.34,0.36,"1.78e-01","4.42e-01","No","ENSG00000154764","WNT7A","3p25.1","protein-coding","Wnt family member 7A"
"PIGZ",189.972,0.34,0.373,"1.86e-01","4.51e-01","No","ENSG00000119227","PIGZ","3q29","protein-coding","phosphatidylinositol glycan anchor biosynthesis class Z"
"ENSG00000308298",51.863,0.34,0.385,"1.91e-01","4.59e-01","No","ENSG00000308298",NA,NA,NA,NA
"GRIP2",523.175,0.34,0.391,"1.93e-01","4.62e-01","No","ENSG00000144596","GRIP2","3p25.1","protein-coding","glutamate receptor interacting protein 2"
"SLC6A9",52.956,0.34,0.399,"1.95e-01","4.65e-01","No","ENSG00000196517","SLC6A9","1p34.1","protein-coding","solute carrier family 6 member 9"
"LOC100288175",42.645,0.34,0.4,"1.96e-01","4.66e-01","No","ENSG00000291156","LOC100288175","1p36.33","ncRNA","uncharacterized LOC100288175"
"ENSG00000302643",36.699,0.34,0.4,"1.97e-01","4.67e-01","No","ENSG00000302643",NA,NA,NA,NA
"INAFM1",30.167,0.34,0.463,"1.98e-01","4.68e-01","No","ENSG00000257704","INAFM1","19q13.32","protein-coding","InaF motif containing 1"
"GLIDR",24.264,0.34,0.416,"2.00e-01","4.71e-01","No","ENSG00000278175","GLIDR","9p12","ncRNA","glioblastoma down-regulated RNA"
"TMEM255B",21.629,0.34,0.442,"2.02e-01","4.74e-01","No","ENSG00000184497","TMEM255B","13q34","protein-coding","transmembrane protein 255B"
"ENSG00000218189",13.635,0.34,0.478,"1.92e-01"," NA","No","ENSG00000218189",NA,NA,NA,NA
"ENSG00000235237",12.078,0.34,0.473,"1.95e-01"," NA","No","ENSG00000235237",NA,NA,NA,NA
"ENSG00000273214",7.562,0.34,0.51,"1.71e-01"," NA","No","ENSG00000273214",NA,NA,NA,NA
"ENSG00000303118",9.439,0.34,0.5,"1.79e-01"," NA","No","ENSG00000303118",NA,NA,NA,NA
"ENSG00000303816",10.678,0.34,0.508,"1.73e-01"," NA","No","ENSG00000303816",NA,NA,NA,NA
"PLB1",173.677,0.339,0.342,"1.68e-01","4.29e-01","No","ENSG00000163803","PLB1","2p23.2","protein-coding","phospholipase B1"
"INE1",69.026,0.339,0.355,"1.77e-01","4.40e-01","No","ENSG00000224975","INE1","Xp11.3","ncRNA","inactivation escape 1"
"ENSG00000307432",77.073,0.339,0.362,"1.80e-01","4.45e-01","No","ENSG00000307432",NA,NA,NA,NA
"RANBP3",549.1,0.339,0.367,"1.83e-01","4.48e-01","No","ENSG00000031823","RANBP3","19p13.3","protein-coding","RAN binding protein 3"
"ENSG00000226471",49.563,0.339,0.366,"1.83e-01","4.48e-01","No","ENSG00000226471",NA,NA,NA,NA
"LINC02301",47.998,0.339,0.371,"1.86e-01","4.51e-01","No","ENSG00000258743","LINC02301","14q31.1","ncRNA","long intergenic non-protein coding RNA 2301"
"ENSG00000288069",38.617,0.339,0.376,"1.88e-01","4.54e-01","No","ENSG00000288069",NA,NA,NA,NA
"XYLT1",753.246,0.339,0.377,"1.89e-01","4.56e-01","No","ENSG00000103489","XYLT1","16p12.3","protein-coding","xylosyltransferase 1"
"ENSG00000267265",80.679,0.339,0.379,"1.89e-01","4.57e-01","No","ENSG00000267265",NA,NA,NA,NA
"ENSG00000298741",34.608,0.339,0.393,"1.95e-01","4.64e-01","No","ENSG00000298741",NA,NA,NA,NA
"ENSG00000273142",22.685,0.339,0.405,"1.99e-01","4.70e-01","No","ENSG00000273142",NA,NA,NA,NA
"ENSG00000295678",24.696,0.339,0.412,"2.01e-01","4.71e-01","No","ENSG00000295678",NA,NA,NA,NA
"ENSG00000274251",35.617,0.339,0.423,"2.02e-01","4.73e-01","No","ENSG00000274251",NA,NA,NA,NA
"ENSG00000305290",21.591,0.339,0.448,"2.03e-01","4.74e-01","No","ENSG00000305290",NA,NA,NA,NA
"EOLA1",35.114,0.339,0.442,"2.03e-01","4.75e-01","No","ENSG00000197620","EOLA1","Xq28","protein-coding","endothelium and lymphocyte associated ASCH domain 1"
"ANKRD49P2",14.356,0.339,0.462,"1.99e-01"," NA","No","ENSG00000225349","ANKRD49P2","12p11.21","pseudo","ANKRD49 pseudogene 2"
"ENSG00000299384",8.971,0.339,0.524,"1.59e-01"," NA","No","ENSG00000299384",NA,NA,NA,NA
"ENSG00000299503",17.342,0.339,0.472,"1.96e-01"," NA","No","ENSG00000299503",NA,NA,NA,NA
"ENSG00000307917",17.07,0.339,0.476,"1.94e-01"," NA","No","ENSG00000307917",NA,NA,NA,NA
"SPATA21",12.299,0.339,0.46,"2.00e-01"," NA","No","ENSG00000187144","SPATA21","1p36.13","protein-coding","spermatogenesis associated 21"
"USP39",161.89,0.338,0.306,"1.39e-01","3.88e-01","No","ENSG00000168883","USP39","2p11.2","protein-coding","ubiquitin specific peptidase 39"
"GARNL3",1608.981,0.338,0.309,"1.42e-01","3.92e-01","No","ENSG00000136895","GARNL3","9q33.3","protein-coding","GTPase activating Rap/RanGAP domain like 3"
"RHOBTB1",276.752,0.338,0.323,"1.54e-01","4.09e-01","No","ENSG00000072422","RHOBTB1","10q21.2","protein-coding","Rho related BTB domain containing 1"
"SHISA7",950.077,0.338,0.352,"1.76e-01","4.39e-01","No","ENSG00000187902","SHISA7","19q13.42","protein-coding","shisa family member 7"
"LINC02901",107.704,0.338,0.357,"1.78e-01","4.42e-01","No","ENSG00000203711","LINC02901","6q25.3","ncRNA","long intergenic non-protein coding RNA 2901"
"RNF181",53.073,0.338,0.367,"1.84e-01","4.49e-01","No","ENSG00000168894","RNF181","2p11.2","protein-coding","ring finger protein 181"
"ZC3H3",120.206,0.338,0.366,"1.84e-01","4.49e-01","No","ENSG00000014164","ZC3H3","8q24.3","protein-coding","zinc finger CCCH-type containing 3"
"CRACR2A",69.089,0.338,0.371,"1.87e-01","4.54e-01","No","ENSG00000130038","CRACR2A","12p13.32","protein-coding","calcium release activated channel regulator 2A"
"SHFL",202.692,0.338,0.38,"1.91e-01","4.60e-01","No","ENSG00000130813","SHFL","19p13.2","protein-coding","shiftless antiviral inhibitor of ribosomal frameshifting"
"KLHDC8A",94.337,0.338,0.381,"1.91e-01","4.60e-01","No","ENSG00000162873","KLHDC8A","1q32.1","protein-coding","kelch domain containing 8A"
"MRPL55",63.122,0.338,0.387,"1.94e-01","4.63e-01","No","ENSG00000162910","MRPL55","1q42.13","protein-coding","mitochondrial ribosomal protein L55"
"TDRD5",51.703,0.338,0.387,"1.95e-01","4.64e-01","No","ENSG00000162782","TDRD5","1q25.2","protein-coding","tudor domain containing 5"
"ENSG00000272506",32.335,0.338,0.477,"1.96e-01","4.66e-01","No","ENSG00000272506",NA,NA,NA,NA
"PDLIM4",21.305,0.338,0.464,"2.00e-01","4.70e-01","No","ENSG00000131435","PDLIM4","5q31.1","protein-coding","PDZ and LIM domain 4"
"PARP10",74.214,0.338,0.465,"2.00e-01","4.70e-01","No","ENSG00000178685","PARP10","8q24.3","protein-coding","poly(ADP-ribose) polymerase family member 10"
"PPM1J",36.976,0.338,0.405,"2.00e-01","4.70e-01","No","ENSG00000155367","PPM1J","1p13.2","protein-coding","protein phosphatase, Mg2+/Mn2+ dependent 1J"
"CCDC150",31.453,0.338,0.411,"2.02e-01","4.73e-01","No","ENSG00000144395","CCDC150","2q33.1","protein-coding","coiled-coil domain containing 150"
"MORN3",63.855,0.338,0.411,"2.02e-01","4.74e-01","No","ENSG00000139714","MORN3","12q24.31","protein-coding","MORN repeat containing 3"
"KCNJ4",101.287,0.338,0.427,"2.03e-01","4.75e-01","No","ENSG00000168135","KCNJ4","22q13.1","protein-coding","potassium inwardly rectifying channel subfamily J member 4"
"ENSG00000267592",35.69,0.338,0.434,"2.04e-01","4.75e-01","No","ENSG00000267592",NA,NA,NA,NA
"APC2",992.42,0.338,0.433,"2.04e-01","4.76e-01","No","ENSG00000115266","APC2","19p13.3","protein-coding","APC regulator of WNT signaling pathway 2"
"RN7SL12P",17.883,0.338,0.427,"2.04e-01","4.76e-01","No","ENSG00000239553","RN7SL12P","11q13.2","pseudo","RNA, 7SL, cytoplasmic 12, pseudogene"
"ENSG00000236545",12.698,0.338,0.5,"1.82e-01"," NA","No","ENSG00000236545",NA,NA,NA,NA
"ENSG00000295994",16.349,0.338,0.44,"2.04e-01"," NA","No","ENSG00000295994",NA,NA,NA,NA
"ENSG00000302615",14.752,0.338,0.449,"2.03e-01"," NA","No","ENSG00000302615",NA,NA,NA,NA
"OR1L4",11.066,0.338,0.47,"1.97e-01"," NA","No","ENSG00000136939","OR1L4","9q33.2","protein-coding","olfactory receptor family 1 subfamily L member 4"
"RNA5SP460",9.015,0.338,0.49,"1.89e-01"," NA","No","ENSG00000252598","RNA5SP460","18q22.3","pseudo","RNA, 5S ribosomal pseudogene 460"
"FAM193A",907.262,0.337,0.295,"1.30e-01","3.75e-01","No","ENSG00000125386","FAM193A","4p16.3","protein-coding","family with sequence similarity 193 member A"
"MAP7",2247.855,0.337,0.316,"1.50e-01","4.03e-01","No","ENSG00000135525","MAP7","6q23.3","protein-coding","microtubule associated protein 7"
"SS18L1",307.271,0.337,0.331,"1.61e-01","4.20e-01","No","ENSG00000184402","SS18L1","20q13.33","protein-coding","SS18L1 subunit of BAF chromatin remodeling complex"
"PRRC2A",1357.737,0.337,0.333,"1.63e-01","4.22e-01","No","ENSG00000204469","PRRC2A","6p21.33","protein-coding","proline rich coiled-coil 2A"
"DDX55P1",127.385,0.337,0.347,"1.73e-01","4.35e-01","No","ENSG00000270863","DDX55P1","12p13.2","pseudo","DEAD-box helicase 55 pseudogene 1"
"ENSG00000291051",39.946,0.337,0.38,"1.93e-01","4.62e-01","No","ENSG00000291051",NA,NA,NA,NA
"SLC25A42",148.176,0.337,0.382,"1.93e-01","4.62e-01","No","ENSG00000181035","SLC25A42","19p13.11","protein-coding","solute carrier family 25 member 42"
"ENSG00000273568",43.841,0.337,0.387,"1.95e-01","4.65e-01","No","ENSG00000273568",NA,NA,NA,NA
"GTF3C2-AS1",42.757,0.337,0.388,"1.95e-01","4.65e-01","No","ENSG00000234945","GTF3C2-AS1","2p23.3","ncRNA","GTF3C2 antisense RNA 1"
"ENSG00000298762",31.463,0.337,0.471,"1.99e-01","4.69e-01","No","ENSG00000298762",NA,NA,NA,NA
"ENSG00000249852",28.217,0.337,0.465,"2.01e-01","4.72e-01","No","ENSG00000249852",NA,NA,NA,NA
"TUBAP14",34.205,0.337,0.405,"2.01e-01","4.72e-01","No","ENSG00000247763","TUBAP14","5p12","pseudo","tubulin alpha pseudogene 14"
"EGFL7",70.223,0.337,0.412,"2.03e-01","4.74e-01","No","ENSG00000172889","EGFL7","9q34.3","protein-coding","EGF like domain multiple 7"
"COL2A1",21.009,0.337,0.415,"2.04e-01","4.75e-01","No","ENSG00000139219","COL2A1","12q13.11","protein-coding","collagen type II alpha 1 chain"
"ENSG00000227379",18.305,0.337,0.427,"2.05e-01","4.76e-01","No","ENSG00000227379",NA,NA,NA,NA
"MIR548I2",18.726,0.337,0.446,"2.05e-01","4.77e-01","No","ENSG00000221275","MIR548I2","4p16.1","ncRNA","microRNA 548i-2"
"EZHIP",23.819,0.337,0.428,"2.05e-01","4.77e-01","No","ENSG00000187690","EZHIP","Xp11.22","protein-coding","EZH inhibitory protein"
"ENSG00000214796",7.642,0.337,0.506,"1.78e-01"," NA","No","ENSG00000214796",NA,NA,NA,NA
"ENSG00000310063",11.314,0.337,0.487,"1.91e-01"," NA","No","ENSG00000310063",NA,NA,NA,NA
"ENSG00000310466",14.093,0.337,0.46,"2.02e-01"," NA","No","ENSG00000310466",NA,NA,NA,NA
"LINC00304",17.75,0.337,0.489,"1.91e-01"," NA","No","ENSG00000180422","LINC00304","16q24.3","ncRNA","long intergenic non-protein coding RNA 304"
"NEK8",11.091,0.337,0.463,"2.01e-01"," NA","No","ENSG00000160602","NEK8","17q11.2","protein-coding","NIMA related kinase 8"
"PROB1",11.691,0.337,0.488,"1.91e-01"," NA","No","ENSG00000228672","PROB1","5q31.2","protein-coding","proline rich basic protein 1"
"ZDHHC12",14.302,0.337,0.459,"2.02e-01"," NA","No","ENSG00000160446","ZDHHC12","9q34.11","protein-coding","zinc finger DHHC-type palmitoyltransferase 12"
"TBC1D2B",295.907,0.336,0.308,"1.44e-01","3.96e-01","No","ENSG00000167202","TBC1D2B","15q24.3-q25.1","protein-coding","TBC1 domain family member 2B"
"EPN2",387.927,0.336,0.313,"1.48e-01","4.01e-01","No","ENSG00000072134","EPN2","17p11.2","protein-coding","epsin 2"
"SART3",800.731,0.336,0.316,"1.50e-01","4.04e-01","No","ENSG00000075856","SART3","12q23.3","protein-coding","spliceosome associated factor 3, U4/U6 recycling protein"
"ZNF263",148.208,0.336,0.318,"1.53e-01","4.07e-01","No","ENSG00000006194","ZNF263","16p13.3","protein-coding","zinc finger protein 263"
"CCZ1",106.57,0.336,0.331,"1.63e-01","4.23e-01","No","ENSG00000122674","CCZ1","7p22.1","protein-coding","CCZ1 homolog, vacuolar protein trafficking and biogenesis associated"
"DDX31",118.019,0.336,0.338,"1.69e-01","4.30e-01","No","ENSG00000125485","DDX31","9q34.13","protein-coding","DEAD-box helicase 31"
"HMGN5",68.587,0.336,0.347,"1.75e-01","4.37e-01","No","ENSG00000198157","HMGN5","Xq21.1","protein-coding","high mobility group nucleosome binding domain 5"
"MCTS2",76.295,0.336,0.351,"1.77e-01","4.40e-01","No","ENSG00000101898","MCTS2","20q11.21","protein-coding","MCTS family member 2"
"ZNF831",335.484,0.336,0.353,"1.79e-01","4.43e-01","No","ENSG00000124203","ZNF831","20q13.32","protein-coding","zinc finger protein 831"
"PCSK5",188.489,0.336,0.362,"1.83e-01","4.49e-01","No","ENSG00000099139","PCSK5","9q21.13","protein-coding","proprotein convertase subtilisin/kexin type 5"
"AP1B1",465.999,0.336,0.366,"1.86e-01","4.52e-01","No","ENSG00000100280","AP1B1","22q12.2","protein-coding","adaptor related protein complex 1 subunit beta 1"
"AAAS",186.104,0.336,0.367,"1.87e-01","4.53e-01","No","ENSG00000094914","AAAS","12q13.13","protein-coding","aladin WD repeat nucleoporin"
"ENSG00000307615",22.5,0.336,0.445,"2.05e-01","4.77e-01","No","ENSG00000307615",NA,NA,NA,NA
"ENSG00000287475",13.341,0.336,0.477,"1.97e-01"," NA","No","ENSG00000287475",NA,NA,NA,NA
"ENSG00000299773",11.578,0.336,0.479,"1.96e-01"," NA","No","ENSG00000299773",NA,NA,NA,NA
"AFG3L2",557.75,0.335,0.281,"1.19e-01","3.55e-01","No","ENSG00000141385","AFG3L2","18p11.21","protein-coding","AFG3 like matrix AAA peptidase subunit 2"
"SNORA14B",3407.012,0.335,0.554,"1.23e-01","3.62e-01","No","ENSG00000207181","SNORA14B","1q42.3","snoRNA","small nucleolar RNA, H/ACA box 14B"
"JARID2",641.45,0.335,0.311,"1.47e-01","4.00e-01","No","ENSG00000008083","JARID2","6p22.3","protein-coding","jumonji and AT-rich interaction domain containing 2"
"SFXN2",183.567,0.335,0.33,"1.63e-01","4.23e-01","No","ENSG00000156398","SFXN2","10q24.32","protein-coding","sideroflexin 2"
"PIGL",278.806,0.335,0.336,"1.68e-01","4.28e-01","No","ENSG00000108474","PIGL","17p11.2","protein-coding","phosphatidylinositol glycan anchor biosynthesis class L"
"HDAC3",306.917,0.335,0.339,"1.70e-01","4.32e-01","No","ENSG00000171720","HDAC3","5q31.3","protein-coding","histone deacetylase 3"
"ENSG00000206567",73.285,0.335,0.341,"1.71e-01","4.32e-01","No","ENSG00000206567",NA,NA,NA,NA
"SLC16A3",52.527,0.335,0.344,"1.73e-01","4.35e-01","No","ENSG00000141526","SLC16A3","17q25.3","protein-coding","solute carrier family 16 member 3"
"ACP4",19.168,0.335,0.5,"1.85e-01","4.51e-01","No","ENSG00000142513","ACP4","19q13.33","protein-coding","acid phosphatase 4"
"RPL3P6",63.33,0.335,0.39,"1.99e-01","4.70e-01","No","ENSG00000213891","RPL3P6","5q12.1","pseudo","ribosomal protein L3 pseudogene 6"
"PHGDH",21.662,0.335,0.466,"2.03e-01","4.74e-01","No","ENSG00000092621","PHGDH","1p12","protein-coding","phosphoglycerate dehydrogenase"
"TJP3",41.155,0.335,0.459,"2.05e-01","4.77e-01","No","ENSG00000105289","TJP3","19p13.3","protein-coding","tight junction protein 3"
"UTS2R",23.123,0.335,0.419,"2.07e-01","4.79e-01","No","ENSG00000181408","UTS2R","17q25.3","protein-coding","urotensin 2 receptor"
"ARHGAP45",40.362,0.335,0.429,"2.07e-01","4.80e-01","No","ENSG00000180448","ARHGAP45","19p13.3","protein-coding","Rho GTPase activating protein 45"
"CLEC3B",10.603,0.335,0.482,"1.96e-01"," NA","No","ENSG00000163815","CLEC3B","3p21.31","protein-coding","C-type lectin domain family 3 member B"
"ENSG00000227352",16.238,0.335,0.429,"2.07e-01"," NA","No","ENSG00000227352",NA,NA,NA,NA
"ENSG00000298359",17.4,0.335,0.431,"2.08e-01"," NA","No","ENSG00000298359",NA,NA,NA,NA
"PLEKHO2",8.563,0.335,0.506,"1.80e-01"," NA","No","ENSG00000241839","PLEKHO2","15q22.31","protein-coding","pleckstrin homology domain containing O2"
"CDC42SE1",588.707,0.334,0.31,"1.48e-01","4.01e-01","No","ENSG00000197622","CDC42SE1","1q21.3","protein-coding","CDC42 small effector 1"
"AFDN",2224.584,0.334,0.316,"1.53e-01","4.08e-01","No","ENSG00000130396","AFDN","6q27","protein-coding","afadin, adherens junction formation factor"
"LOC93429",231.789,0.334,0.325,"1.60e-01","4.19e-01","No","ENSG00000268460","LOC93429","19q13.32","ncRNA","uncharacterized LOC93429"
"ENSG00000309736",49.278,0.334,0.359,"1.84e-01","4.49e-01","No","ENSG00000309736",NA,NA,NA,NA
"ENSG00000248394",35.897,0.334,0.374,"1.93e-01","4.62e-01","No","ENSG00000248394",NA,NA,NA,NA
"ENSG00000298611",24.799,0.334,0.458,"2.07e-01","4.79e-01","No","ENSG00000298611",NA,NA,NA,NA
"ENSG00000302884",23.504,0.334,0.42,"2.09e-01","4.82e-01","No","ENSG00000302884",NA,NA,NA,NA
"ARMC5",65.334,0.334,0.431,"2.09e-01","4.82e-01","No","ENSG00000140691","ARMC5","16p11.2","protein-coding","armadillo repeat containing 5"
"ENSG00000232762",16.243,0.334,0.472,"2.02e-01"," NA","No","ENSG00000232762",NA,NA,NA,NA
"ENSG00000263126",14.115,0.334,0.452,"2.07e-01"," NA","No","ENSG00000263126",NA,NA,NA,NA
"ENSG00000309010",15.868,0.334,0.445,"2.08e-01"," NA","No","ENSG00000309010",NA,NA,NA,NA
"LOC339059",9.371,0.334,0.507,"1.81e-01"," NA","No","ENSG00000182376","LOC339059","16q24.3","ncRNA","uncharacterized LOC339059"
"NOL4L-DT",11.844,0.334,0.498,"1.87e-01"," NA","No","ENSG00000204393","NOL4L-DT","20q11.21","ncRNA","NOL4L divergent transcript"
"CASC3",1236.807,0.333,0.291,"1.31e-01","3.76e-01","No","ENSG00000108349","CASC3","17q21.1","protein-coding","CASC3 exon junction complex subunit"
"SLC45A1",117.495,0.333,0.381,"1.97e-01","4.67e-01","No","ENSG00000162426","SLC45A1","1p36.23","protein-coding","solute carrier family 45 member 1"
"ENSG00000279735",196.254,0.333,0.385,"2.00e-01","4.70e-01","No","ENSG00000279735",NA,NA,NA,NA
"ASB6",183.963,0.333,0.394,"2.03e-01","4.74e-01","No","ENSG00000148331","ASB6","9q34.11","protein-coding","ankyrin repeat and SOCS box containing 6"
"ENSG00000274403",34.798,0.333,0.393,"2.03e-01","4.74e-01","No","ENSG00000274403",NA,NA,NA,NA
"ENSG00000257576",18.896,0.333,0.469,"2.05e-01","4.76e-01","No","ENSG00000257576",NA,NA,NA,NA
"OR2D3",19.196,0.333,0.466,"2.05e-01","4.77e-01","No","ENSG00000178358","OR2D3","11p15.4","protein-coding","olfactory receptor family 2 subfamily D member 3"
"C17orf113",26.79,0.333,0.409,"2.07e-01","4.79e-01","No","ENSG00000267221","C17orf113","17q21.2","protein-coding","chromosome 17 open reading frame 113"
"RAC3",41.565,0.333,0.453,"2.09e-01","4.82e-01","No","ENSG00000169750","RAC3","17q25.3","protein-coding","Rac family small GTPase 3"
"IQSEC3P3",35.221,0.333,0.422,"2.10e-01","4.83e-01","No","ENSG00000274727","IQSEC3P3","20q13.33","pseudo","IQ motif and Sec7 domain 3 pseudogene 3"
"SLC5A2",19.606,0.333,0.428,"2.10e-01","4.83e-01","No","ENSG00000140675","SLC5A2","16p11.2","protein-coding","solute carrier family 5 member 2"
"ARR3",13.031,0.333,0.468,"2.04e-01"," NA","No","ENSG00000120500","ARR3","Xq13.1","protein-coding","arrestin 3"
"ENSG00000282933",10.877,0.333,0.488,"1.95e-01"," NA","No","ENSG00000282933",NA,NA,NA,NA
"ENSG00000283176",9.298,0.333,0.542,"1.42e-01"," NA","No","ENSG00000283176",NA,NA,NA,NA
"ENSG00000297343",14.047,0.333,0.458,"2.07e-01"," NA","No","ENSG00000297343",NA,NA,NA,NA
"NR4A1",513.28,0.333,0.571," NA"," NA","No","ENSG00000123358","NR4A1","12q13.13","protein-coding","nuclear receptor subfamily 4 group A member 1"
"HNRNPL",524.177,0.332,0.307,"1.46e-01","3.99e-01","No","ENSG00000104824","HNRNPL","19q13.2","protein-coding","heterogeneous nuclear ribonucleoprotein L"
"TMEM43",417.286,0.332,0.326,"1.63e-01","4.22e-01","No","ENSG00000170876","TMEM43","3p25.1","protein-coding","transmembrane protein 43"
"TNS2-AS1",114.244,0.332,0.329,"1.66e-01","4.26e-01","No","ENSG00000257337","TNS2-AS1","12q13.13","ncRNA","TNS2 antisense RNA 1"
"SMIM39",69.072,0.332,0.401,"2.07e-01","4.79e-01","No","ENSG00000284479","SMIM39","2q21.1","protein-coding","small integral membrane protein 39"
"PHPT1",47.989,0.332,0.444,"2.11e-01","4.84e-01","No","ENSG00000054148","PHPT1","9q34.3","protein-coding","phosphohistidine phosphatase 1"
"G3BP1P1",25.158,0.332,0.432,"2.11e-01","4.84e-01","No","ENSG00000235651","G3BP1P1","2q21.3","pseudo","G3BP1 pseudogene 1"
"OSCAR",20.174,0.332,0.44,"2.12e-01","4.85e-01","No","ENSG00000170909","OSCAR","19q13.42","protein-coding","osteoclast associated Ig-like receptor"
"SDCBP2P1",10.646,0.332,0.462,"2.08e-01"," NA","No","ENSG00000223389","SDCBP2P1","6q13","pseudo","syndecan binding protein 2 pseudogene 1"
"KDM4C",1063.582,0.331,0.291,"1.33e-01","3.78e-01","No","ENSG00000107077","KDM4C","9p24.1","protein-coding","lysine demethylase 4C"
"CTPS1",335.479,0.331,0.31,"1.51e-01","4.05e-01","No","ENSG00000171793","CTPS1","1p34.2","protein-coding","CTP synthase 1"
"EFCAB5",127.681,0.331,0.319,"1.59e-01","4.17e-01","No","ENSG00000176927","EFCAB5","17q11.2","protein-coding","EF-hand calcium binding domain 5"
"XXYLT1",115.238,0.331,0.32,"1.60e-01","4.19e-01","No","ENSG00000173950","XXYLT1","3q29","protein-coding","xyloside xylosyltransferase 1"
"ENSG00000299322",68.895,0.331,0.357,"1.88e-01","4.54e-01","No","ENSG00000299322",NA,NA,NA,NA
"ENSG00000224376",18.069,0.331,0.431,"2.12e-01","4.85e-01","No","ENSG00000224376",NA,NA,NA,NA
"ENSG00000301571",22.172,0.331,0.432,"2.13e-01","4.87e-01","No","ENSG00000301571",NA,NA,NA,NA
"GCATP1",21.611,0.331,0.429,"2.13e-01","4.87e-01","No","ENSG00000270878","GCATP1","14q23.2","pseudo","glycine C-acetyltransferase pseudogene 1"
"CCN1",156.476,0.331,0.573," NA"," NA","No","ENSG00000142871","CCN1","1p22.3","protein-coding","cellular communication network factor 1"
"ENSG00000297719",11.85,0.331,0.482,"2.01e-01"," NA","No","ENSG00000297719",NA,NA,NA,NA
"LINC00970",9.329,0.331,0.502,"1.88e-01"," NA","No","ENSG00000203601","LINC00970","1q24.2","ncRNA","long intergenic non-protein coding RNA 970"
"LPO",11.147,0.331,0.475,"2.04e-01"," NA","No","ENSG00000167419","LPO","17q22","protein-coding","lactoperoxidase"
