"gene_symbols"	"SRR10446596"	"SRR10446599"	"SRR10446602"	"SRR10446605"	"SRR10446608"	"SRR10446611"
"ENSG00000120049"	"KCNIP2"	397	849	944	307	667	313
"ENSG00000171798"	"KNDC1"	1268	2695	1778	4723	3590	1582
"ENSG00000107831"	"FGF8"	0	0	0	1	13	0
"ENSG00000151892"	"GFRA1"	75	119	266	88	51	108
"ENSG00000200176"	"RNU1-19P"	0	2	5	0	3	1
"ENSG00000173269"	"MMRN2"	26	82	49	46	44	14
"ENSG00000281974"	"NA"	0	7	2	1	1	1
"ENSG00000173267"	"SNCG"	132	281	66	106	91	79
"ENSG00000240089"	"BMS1P3"	0	0	1	0	0	0
"ENSG00000261011"	"NA"	0	0	0	0	0	0
"ENSG00000188100"	"FAM25A"	0	0	0	0	0	0
"ENSG00000271573"	"NA"	0	0	0	0	0	0
"ENSG00000200253"	"RNU6-529P"	0	0	0	0	0	1
"ENSG00000122376"	"SHLD2"	96	116	234	39	194	183
"ENSG00000237280"	"NA"	10	22	30	16	27	28
"ENSG00000273946"	"RN7SL733P"	4	7	6	6	4	1
"ENSG00000197177"	"ADGRA1"	213	420	291	402	427	304
"ENSG00000119927"	"GPAM"	111	105	306	68	119	130
"ENSG00000119913"	"TECTB"	0	0	1	0	0	0
"ENSG00000283688"	"MIR6715B"	0	0	0	0	0	0
"ENSG00000276857"	"MIR6715A"	0	0	0	0	0	0
"ENSG00000232934"	"NA"	1	12	16	3	0	3
"ENSG00000234017"	"NA"	3	3	10	1	7	3
"ENSG00000148516"	"ZEB1"	911	1518	1502	648	961	1254
"ENSG00000225355"	"NA"	1	0	1	0	0	0
"ENSG00000206796"	"RNU6-811P"	0	0	0	0	0	0
"ENSG00000234918"	"NA"	0	0	0	0	0	0
"ENSG00000244402"	"RN7SL314P"	0	0	0	0	0	0
"ENSG00000252621"	"NA"	0	0	0	0	0	0
"ENSG00000237970"	"NA"	0	0	0	1	0	0
"ENSG00000236313"	"VN1R53P"	0	0	1	0	0	0
"ENSG00000130640"	"TUBGCP2"	508	831	1043	919	792	419
"ENSG00000023041"	"ZDHHC6"	169	254	621	179	279	299
"ENSG00000224725"	"NA"	0	2	3	0	0	3
"ENSG00000148730"	"EIF4EBP2"	225	373	722	140	204	168
"ENSG00000156574"	"NODAL"	5	8	53	7	6	5
"ENSG00000280401"	"NA"	7	9	8	6	1	11
"ENSG00000230661"	"NA"	2	0	4	2	6	2
"ENSG00000237224"	"NA"	2	2	7	5	6	3
"ENSG00000108001"	"EBF3"	66	70	197	68	79	83
"ENSG00000237489"	"C10orf143"	7	11	70	38	65	35
"ENSG00000277218"	"NA"	6	2	10	4	0	8
"ENSG00000233122"	"CTAGE7P"	19	18	34	11	26	20
"ENSG00000233319"	"NA"	3	0	6	3	5	5
"ENSG00000108010"	"GLRX3"	146	206	375	188	175	190
"ENSG00000202508"	"NA"	0	0	0	0	0	6
"ENSG00000227474"	"RPL6P24"	4	6	15	3	2	9
"ENSG00000273474"	"NA"	9	13	15	2	15	10
"ENSG00000199407"	"RNA5SP301"	0	0	0	0	0	0
"ENSG00000197142"	"ACSL5"	54	95	110	27	44	46
"ENSG00000198997"	"MIR107"	0	2	5	0	3	3
"ENSG00000263795"	"MIR5100"	0	0	0	0	0	0
"ENSG00000169826"	"CSGALNACT2"	309	371	496	143	292	378
"ENSG00000198915"	"RASGEF1A"	214	507	342	702	642	244
"ENSG00000221468"	"RNU6ATAC11P"	0	0	0	0	0	0
"ENSG00000230469"	"RPL5P26"	0	0	0	0	0	0
"ENSG00000148672"	"GLUD1"	313	568	828	210	293	485
"ENSG00000270811"	"NA"	0	1	5	0	0	12
"ENSG00000235141"	"NA"	10	32	12	5	12	11
"ENSG00000278982"	"NA"	0	0	0	0	0	0
"ENSG00000207453"	"RNU6-535P"	0	0	0	0	0	0
"ENSG00000222979"	"RN7SKP167"	0	0	0	0	0	0
"ENSG00000223432"	"NA"	0	0	0	0	0	0
"ENSG00000263511"	"MIR5699"	7	17	18	53	44	15
"ENSG00000183230"	"CTNNA3"	10	31	59	28	29	33
"ENSG00000277056"	"NA"	0	1	0	0	0	0
"ENSG00000225299"	"NA"	6	60	57	4	37	73
"ENSG00000226448"	"RPL7AP51"	0	2	6	0	7	4
"ENSG00000276866"	"MIR7151"	0	0	0	0	0	0
"ENSG00000213606"	"NA"	0	0	0	0	0	0
"ENSG00000225922"	"RPL21P92"	0	0	2	0	0	2
"ENSG00000108176"	"DNAJC12"	33	185	132	24	51	36
"ENSG00000212520"	"RNU6-1250P"	2	0	3	0	0	0
"ENSG00000239942"	"RN7SL394P"	0	1	6	2	3	0
"ENSG00000237141"	"NA"	0	7	2	3	3	1
"ENSG00000252113"	"RNU6-523P"	0	0	0	0	0	0
"ENSG00000219932"	"RPL12P8"	0	1	0	0	0	0
"ENSG00000096717"	"SIRT1"	194	319	440	101	115	218
"ENSG00000226318"	"RPS3AP38"	30	68	136	4	38	67
"ENSG00000266467"	"RN7SL220P"	15	20	19	5	16	6
"ENSG00000236375"	"NA"	25	32	34	16	26	15
"ENSG00000148719"	"DNAJB12"	234	384	431	351	425	320
"ENSG00000107872"	"FBXL15"	28	70	44	88	42	32
"ENSG00000277758"	"SYT15B"	139	125	141	119	133	153
"ENSG00000172650"	"AGAP5"	0	4	6	5	5	2
"ENSG00000138136"	"LBX1"	2	0	0	0	0	0
"ENSG00000189090"	"FAM25G"	0	0	0	0	0	0
"ENSG00000148848"	"ADAM12"	61	83	129	73	108	62
"ENSG00000204021"	"LIPK"	0	0	0	0	0	0
"ENSG00000150054"	"MPP7"	175	389	250	144	298	267
"ENSG00000198879"	"SFMBT2"	448	798	603	600	698	431
"ENSG00000188611"	"ASAH2"	1	3	14	4	5	1
"ENSG00000150201"	"FXYD4"	0	1	0	0	0	0
"ENSG00000169813"	"HNRNPF"	130	243	216	95	177	164
"ENSG00000221400"	"SNORD3J"	0	0	0	0	0	0
"ENSG00000252532"	"RNU7-193P"	6	6	7	0	4	14
"ENSG00000236114"	"LOC100130881"	44	75	213	25	106	214
"ENSG00000196793"	"ZNF239"	66	83	97	38	99	67
"ENSG00000287852"	"NA"	0	0	3	0	0	0
"ENSG00000232004"	"CAP1P2"	1	2	5	0	4	1
"ENSG00000198298"	"ZNF485"	29	46	122	10	23	29
"ENSG00000237389"	"NA"	0	0	4	2	0	0
"ENSG00000238263"	"RPL21P88"	1	1	3	0	5	1
"ENSG00000169740"	"ZNF32"	38	116	84	23	50	41
"ENSG00000107443"	"CCNJ"	28	25	116	14	28	30
"ENSG00000266407"	"MIR3157"	0	0	6	1	4	0
"ENSG00000200728"	"RNU6-271P"	0	0	1	0	0	0
"ENSG00000287009"	"NA"	0	3	0	0	1	0
"ENSG00000229417"	"NPM1P25"	0	0	0	0	0	0
"ENSG00000180644"	"PRF1"	1	1	2	4	2	1
"ENSG00000138316"	"ADAMTS14"	3	2	12	10	5	10
"ENSG00000231366"	"NA"	0	0	0	0	0	0
"ENSG00000166228"	"PCBD1"	11	69	41	6	21	18
"ENSG00000166220"	"TBATA"	0	0	2	0	0	0
"ENSG00000107807"	"TLX1"	0	0	0	0	0	0
"ENSG00000138172"	"CALHM2"	23	41	41	41	70	34
"ENSG00000273485"	"NA"	0	3	3	0	0	0
"ENSG00000185933"	"CALHM1"	24	37	63	38	24	25
"ENSG00000183128"	"CALHM3"	0	4	3	0	1	1
"ENSG00000287419"	"NA"	85	108	111	98	118	121
"ENSG00000273108"	"NA"	92	115	153	120	190	158
"ENSG00000222503"	"NA"	17	30	43	36	43	26
"ENSG00000280693"	"SH3PXD2A-AS1"	15	20	15	27	34	38
"ENSG00000266754"	"RN7SL524P"	0	0	0	0	0	0
"ENSG00000227905"	"NA"	0	0	0	0	0	0
"ENSG00000289051"	"NA"	0	0	0	0	0	0
"ENSG00000238405"	"RNA5SP311"	2	2	3	0	3	3
"ENSG00000204179"	"PTPN20"	15	58	72	54	63	133
"ENSG00000122375"	"OPN4"	5	19	24	18	8	24
"ENSG00000176171"	"BNIP3"	178	623	502	218	285	216
"ENSG00000277959"	"NA"	15	19	55	7	54	23
"ENSG00000273521"	"NA"	15	38	38	30	38	19
"ENSG00000279982"	"NA"	2	4	28	9	12	2
"ENSG00000273327"	"OR6L2P"	5	9	15	49	13	10
"ENSG00000273336"	"OR7M1P"	0	2	4	10	3	7
"ENSG00000130649"	"CYP2E1"	124	219	280	376	250	238
"ENSG00000286789"	"NA"	3	2	13	4	0	6
"ENSG00000171772"	"SYCE1"	29	47	46	171	71	80
"ENSG00000233685"	"OR6L1P"	3	15	7	38	17	22
"ENSG00000203772"	"SPRN"	49	65	69	83	33	29
"ENSG00000289258"	"NA"	2	3	6	5	0	11
"ENSG00000222371"	"RN7SKP202"	0	0	0	0	0	0
"ENSG00000179774"	"ATOH7"	3	9	13	0	6	3
"ENSG00000233590"	"NA"	0	1	1	0	0	0
"ENSG00000234102"	"NA"	0	0	4	0	0	0
"ENSG00000108187"	"PBLD"	50	70	162	57	109	54
"ENSG00000096746"	"HNRNPH3"	579	873	1446	423	727	874
"ENSG00000275675"	"NA"	3	4	10	4	2	1
"ENSG00000226086"	"EIF3LP3"	0	5	2	0	0	2
"ENSG00000235964"	"NA"	0	7	4	0	0	3
"ENSG00000272983"	"NA"	115	206	666	87	187	194
"ENSG00000234941"	"NA"	0	0	4	0	0	0
"ENSG00000075407"	"ZNF37A"	473	1033	2159	274	813	948
"ENSG00000075073"	"TACR2"	32	28	57	26	50	35
"ENSG00000108175"	"ZMIZ1"	388	942	900	589	1011	541
"ENSG00000197746"	"PSAP"	1367	4482	3179	1245	1053	858
"ENSG00000172661"	"WASHC2C"	453	734	704	536	629	559
"ENSG00000183049"	"CAMK1D"	1015	2248	1833	1370	2008	1072
"ENSG00000107745"	"MICU1"	584	902	808	472	765	782
"ENSG00000138207"	"RBP4"	50	103	63	24	39	7
"ENSG00000107863"	"ARHGAP21"	4633	8062	12799	2972	5957	8130
"ENSG00000171988"	"JMJD1C"	1741	2805	6440	1278	2495	3541
"ENSG00000233518"	"RPL7P35"	0	0	3	0	0	2
"ENSG00000223302"	"NA"	0	0	0	0	0	0
"ENSG00000108055"	"SMC3"	478	919	1262	261	509	740
"ENSG00000138347"	"MYPN"	0	0	9	8	14	4
"ENSG00000122367"	"LDB3"	20	65	82	82	42	81
"ENSG00000151640"	"DPYSL4"	274	582	365	863	580	345
"ENSG00000188385"	"JAKMIP3"	1205	2202	1914	3782	3275	1472
"ENSG00000188234"	"AGAP4"	21	37	53	23	85	40
"ENSG00000107862"	"GBF1"	961	1615	1922	1497	1792	1305
"ENSG00000151632"	"AKR1C2"	17	23	28	81	64	18
"ENSG00000095564"	"BTAF1"	800	935	2010	668	975	1107
"ENSG00000107954"	"NEURL1"	176	375	303	610	377	252
"ENSG00000148429"	"USP6NL"	53	76	91	68	70	111
"ENSG00000197321"	"SVIL"	184	273	485	411	373	336
"ENSG00000156026"	"MCU"	136	158	194	71	90	109
"ENSG00000228570"	"NUTM2E"	15	15	21	17	25	6
"ENSG00000138193"	"PLCE1"	157	345	578	114	218	244
"ENSG00000198739"	"LRRTM3"	436	1148	1197	188	233	478
"ENSG00000289325"	"NA"	0	0	0	0	0	0
"ENSG00000165632"	"TAF3"	171	560	388	143	232	224
"ENSG00000233990"	"NA"	3	0	4	1	0	4
"ENSG00000252036"	"RN7SKP288"	0	1	0	0	8	0
"ENSG00000199364"	"RNA5SP327"	0	0	0	0	0	0
"ENSG00000232470"	"NA"	0	0	0	0	0	0
"ENSG00000150593"	"PDCD4"	278	561	942	322	436	263
"ENSG00000284482"	"MIR4680"	0	0	0	0	0	0
"ENSG00000214413"	"BBIP1"	338	380	819	90	370	459
"ENSG00000108061"	"SHOC2"	395	950	1147	183	266	345
"ENSG00000234118"	"RPL13AP6"	6	8	17	8	13	8
"ENSG00000221214"	"MIR548E"	0	1	1	0	0	1
"ENSG00000150594"	"ADRA2A"	33	23	45	57	14	29
"ENSG00000122877"	"EGR2"	58	25	13	117	17	3
"ENSG00000289487"	"NA"	2	1	1	0	0	0
"ENSG00000148835"	"TAF5"	62	101	216	43	84	115
"ENSG00000166348"	"USP54"	184	289	792	202	349	342
"ENSG00000270025"	"BMS1P7"	0	0	0	0	0	0
"ENSG00000170324"	"FRMPD2"	24	39	23	9	18	11
"ENSG00000285786"	"NA"	0	0	0	0	0	0
"ENSG00000225482"	"RPS6P14"	0	0	0	0	0	0
"ENSG00000107643"	"MAPK8"	482	858	1270	229	518	538
"ENSG00000279822"	"NA"	15	21	24	20	18	21
"ENSG00000128805"	"ARHGAP22"	140	208	145	377	352	286
"ENSG00000231906"	"NA"	10	5	4	26	20	15
"ENSG00000251413"	"NA"	6	4	10	2	3	11
"ENSG00000236800"	"NA"	0	0	0	0	0	0
"ENSG00000228754"	"RPL13AP19"	0	0	0	0	0	0
"ENSG00000165732"	"DDX21"	251	364	541	214	259	288
"ENSG00000283000"	"NA"	0	1	7	1	1	0
"ENSG00000266228"	"MIR3611"	15	17	16	4	8	5
"ENSG00000253054"	"RNU7-77P"	1	1	8	0	0	1
"ENSG00000233343"	"ATP6V1G1P4"	8	12	13	9	6	15
"ENSG00000152766"	"ANKRD22"	0	2	2	1	2	0
"ENSG00000234256"	"PTCD2P2"	0	0	0	0	0	2
"ENSG00000138134"	"STAMBPL1"	310	597	821	173	426	538
"ENSG00000286116"	"NA"	3	3	13	0	0	1
"ENSG00000275693"	"NA"	0	0	0	0	0	0
"ENSG00000265375"	"MIR4679-2"	0	0	0	0	0	0
"ENSG00000283664"	"MIR4679-1"	0	0	0	0	0	0
"ENSG00000228027"	"NA"	245	259	284	131	227	184
"ENSG00000229206"	"NA"	129	130	147	132	218	173
"ENSG00000237986"	"CELF2-AS2"	1174	1285	1624	612	1210	1328
"ENSG00000230322"	"NA"	185	265	169	75	102	181
"ENSG00000280086"	"NA"	0	1	2	0	0	2
"ENSG00000166321"	"NUDT13"	131	128	231	39	89	100
"ENSG00000221164"	"SNORA11F"	5	13	44	25	21	27
"ENSG00000122882"	"ECD"	254	466	748	289	264	319
"ENSG00000138286"	"FAM149B1"	159	294	391	72	179	228
"ENSG00000213551"	"DNAJC9"	59	226	147	70	141	116
"ENSG00000199201"	"NA"	0	1	3	1	10	1
"ENSG00000227382"	"NA"	8	5	38	7	4	28
"ENSG00000288559"	"NA"	31	85	64	25	58	62
"ENSG00000182180"	"MRPS16"	88	239	234	78	76	87
"ENSG00000200356"	"RNU6-833P"	0	4	0	0	2	0
"ENSG00000207473"	"NA"	2	7	9	0	0	5
"ENSG00000138279"	"ANXA7"	289	457	621	262	371	269
"ENSG00000048740"	"CELF2"	2789	5042	4645	2401	2783	2822
"ENSG00000156042"	"CFAP70"	238	396	558	183	329	429
"ENSG00000107669"	"ATE1"	329	645	1075	260	475	458
"ENSG00000200789"	"RNU1-65P"	0	0	0	0	1	0
"ENSG00000212769"	"NA"	0	0	5	2	0	0
"ENSG00000271933"	"NA"	0	2	5	0	0	0
"ENSG00000165678"	"GHITM"	225	751	558	88	130	145
"ENSG00000188373"	"GPR15LG"	0	0	0	0	0	0
"ENSG00000148600"	"CDHR1"	90	273	404	182	216	81
"ENSG00000204033"	"LRIT2"	3	8	18	0	4	3
"ENSG00000148604"	"RGR"	1	2	6	3	10	0
"ENSG00000148602"	"LRIT1"	0	0	0	0	0	0
"ENSG00000233189"	"NA"	7	5	13	5	16	13
"ENSG00000225423"	"TNPO1P1"	25	40	60	9	26	54
"ENSG00000225928"	"NA"	26	25	33	12	10	20
"ENSG00000026025"	"VIM"	13	5	31	3	17	1
"ENSG00000172731"	"LRRC20"	71	227	111	79	88	46
"ENSG00000232497"	"NA"	0	0	0	0	0	0
"ENSG00000236777"	"NA"	0	0	0	0	0	0
"ENSG00000223601"	"EBLN1"	0	2	6	0	0	0
"ENSG00000260205"	"NA"	0	0	3	0	0	0
"ENSG00000227462"	"PSME2P6"	0	0	0	0	0	0
"ENSG00000286832"	"NA"	0	0	2	0	0	2
"ENSG00000279631"	"NA"	2	11	17	9	5	6
"ENSG00000261671"	"NA"	3	4	6	0	0	3
"ENSG00000233318"	"NA"	0	0	0	0	0	0
"ENSG00000148444"	"COMMD3"	19	19	70	12	29	19
"ENSG00000269897"	"COMMD3-BMI1"	0	0	0	0	0	0
"ENSG00000168283"	"BMI1"	61	181	190	37	41	48
"ENSG00000272516"	"NA"	0	0	3	0	0	0
"ENSG00000272366"	"NA"	0	0	0	0	0	1
"ENSG00000043591"	"ADRB1"	72	208	195	309	194	149
"ENSG00000253066"	"RNU6-709P"	0	0	0	0	0	0
"ENSG00000226582"	"UBE2V1P5"	1	2	1	0	0	0
"ENSG00000165813"	"CCDC186"	674	1202	1912	353	678	998
"ENSG00000273904"	"NA"	3	2	5	0	4	0
"ENSG00000284442"	"MIR2110"	0	0	0	0	0	0
"ENSG00000165816"	"VWA2"	25	57	154	110	101	55
"ENSG00000230165"	"NA"	0	0	0	0	0	0
"ENSG00000269952"	"NA"	11	4	5	4	5	5
"ENSG00000253070"	"RNU6-794P"	0	0	3	1	0	7
"ENSG00000200097"	"RNU6-1167P"	3	0	1	0	3	9
"ENSG00000204176"	"SYT15"	5	36	38	44	34	44
"ENSG00000274186"	"RN7SL248P"	0	0	0	0	0	0
"ENSG00000204175"	"GPRIN2"	33	63	76	149	69	65
"ENSG00000107679"	"PLEKHA1"	717	1646	2124	401	775	1116
"ENSG00000107957"	"SH3PXD2A"	1574	2622	2746	2913	3038	1833
"ENSG00000128815"	"WDFY4"	14	19	15	18	45	26
"ENSG00000055950"	"MRPL43"	29	58	83	36	43	44
"ENSG00000289270"	"NA"	20	46	32	4	16	8
"ENSG00000288918"	"NA"	38	71	108	11	23	45
"ENSG00000289092"	"NA"	12	48	65	10	19	19
"ENSG00000289528"	"NA"	35	67	67	14	53	48
"ENSG00000288757"	"NA"	2	1	6	2	4	6
"ENSG00000231601"	"NA"	0	0	2	0	0	0
"ENSG00000107929"	"LARP4B"	752	1113	1585	838	1300	1105
"ENSG00000226842"	"NA"	3	3	1	0	0	0
"ENSG00000233825"	"NA"	0	0	2	1	6	0
"ENSG00000229327"	"EPC1-AS1"	8	14	39	4	14	17
"ENSG00000200484"	"RNU6-1244P"	0	0	0	0	0	0
"ENSG00000231245"	"NA"	0	2	3	0	0	0
"ENSG00000165806"	"CASP7"	7	32	23	4	26	22
"ENSG00000234393"	"NA"	0	5	1	0	7	3
"ENSG00000283656"	"MIR4483"	0	0	0	0	0	0
"ENSG00000212589"	"LOC124900297"	0	0	0	0	0	0
"ENSG00000198924"	"DCLRE1A"	36	99	110	9	21	32
"ENSG00000287857"	"NA"	37	55	94	7	16	41
"ENSG00000148735"	"PLEKHS1"	2	14	3	0	17	60
"ENSG00000095627"	"TDRD1"	5	25	67	6	8	18
"ENSG00000107816"	"LZTS2"	117	254	305	520	357	178
"ENSG00000165568"	"AKR1E2"	91	128	175	138	229	132
"ENSG00000238840"	"NA"	0	2	9	1	0	7
"ENSG00000187134"	"AKR1C1"	29	58	116	147	118	78
"ENSG00000134461"	"ANKRD16"	70	164	229	135	127	149
"ENSG00000134452"	"FBH1"	222	412	492	443	404	375
"ENSG00000134470"	"IL15RA"	0	6	5	2	5	17
"ENSG00000251922"	"LOC124902573"	0	0	0	0	0	0
"ENSG00000067064"	"IDI1"	140	235	270	74	107	112
"ENSG00000260917"	"LOC103344931"	95	176	183	128	140	127
"ENSG00000279315"	"NA"	46	60	81	39	71	45
"ENSG00000227560"	"RPS15AP30"	2	3	7	1	8	6
"ENSG00000238380"	"RNU7-165P"	2	0	4	0	0	7
"ENSG00000151033"	"LYZL2"	0	0	0	0	0	0
"ENSG00000272914"	"NA"	2	16	41	3	19	22
"ENSG00000237135"	"DDX10P1"	69	97	124	31	74	103
"ENSG00000177853"	"ZNF518A"	511	796	1625	193	493	669
"ENSG00000095585"	"BLNK"	13	44	109	14	28	35
"ENSG00000165312"	"OTUD1"	47	121	151	95	53	43
"ENSG00000120549"	"KIAA1217"	833	1473	1753	1429	1131	1139
"ENSG00000223928"	"NA"	3	19	23	7	5	14
"ENSG00000277563"	"NA"	0	0	0	0	0	0
"ENSG00000207930"	"MIR603"	2	0	1	2	0	0
"ENSG00000286951"	"NA"	14	20	49	4	13	21
"ENSG00000289188"	"NA"	33	70	59	5	39	36
"ENSG00000226407"	"RPL23P11"	0	0	0	0	0	0
"ENSG00000223470"	"NA"	0	0	0	0	4	0
"ENSG00000148498"	"PARD3"	138	205	349	80	107	74
"ENSG00000199200"	"NA"	0	2	1	0	0	3
"ENSG00000234167"	"ELOBP4"	1	6	2	1	0	0
"ENSG00000229235"	"RPL37P18"	8	9	7	0	5	0
"ENSG00000215184"	"NA"	17	18	13	0	11	14
"ENSG00000232525"	"NA"	0	0	0	0	0	0
"ENSG00000223047"	"RNU6-847P"	0	0	0	0	0	0
"ENSG00000222909"	"RNU6-193P"	0	0	0	0	0	0
"ENSG00000213724"	"NA"	0	0	0	0	0	0
"ENSG00000148513"	"ANKRD30A"	0	8	3	1	7	0
"ENSG00000119946"	"CNNM1"	466	947	860	587	508	587
"ENSG00000120053"	"GOT1"	271	649	497	212	180	203
"ENSG00000169129"	"AFAP1L2"	95	302	319	219	155	124
"ENSG00000242912"	"RN7SL384P"	4	1	1	1	1	0
"ENSG00000279796"	"NA"	4	15	25	3	8	24
"ENSG00000229668"	"NA"	7	14	21	3	12	16
"ENSG00000225251"	"RPL5P25"	19	45	35	6	17	31
"ENSG00000123240"	"OPTN"	1740	3450	2368	1839	2744	1971
"ENSG00000235763"	"NA"	3	10	11	5	5	8
"ENSG00000234175"	"NA"	1	5	19	1	4	9
"ENSG00000228330"	"NA"	5	19	37	5	30	30
"ENSG00000203414"	"NA"	1	4	5	2	1	2
"ENSG00000237540"	"NA"	0	0	1	0	0	0
"ENSG00000065328"	"MCM10"	0	5	12	3	0	5
"ENSG00000272055"	"RNU6-6P"	18	276	10357	2135	155	34
"ENSG00000165623"	"UCMA"	0	0	0	0	0	0
"ENSG00000107537"	"PHYH"	33	87	211	74	67	92
"ENSG00000226209"	"NA"	1	0	0	0	0	0
"ENSG00000289266"	"NA"	0	0	0	0	0	0
"ENSG00000183621"	"ZNF438"	139	200	270	95	142	180
"ENSG00000236495"	"LOC105376429"	0	0	1	0	0	0
"ENSG00000201766"	"RNA5SP302"	0	0	4	0	0	0
"ENSG00000152455"	"SUV39H2"	94	124	221	33	77	128
"ENSG00000197889"	"MEIG1"	7	12	4	4	2	5
"ENSG00000235623"	"OR7E110P"	0	0	1	1	0	1
"ENSG00000182531"	"NA"	0	0	0	0	0	0
"ENSG00000026103"	"FAS"	103	169	302	37	85	191
"ENSG00000134460"	"IL2RA"	0	0	0	0	0	0
"ENSG00000214015"	"RPL32P23"	0	0	0	0	0	0
"ENSG00000134453"	"RBM17"	447	752	1062	662	865	765
"ENSG00000170525"	"PFKFB3"	708	863	526	836	1086	474
"ENSG00000201581"	"NA"	7	8	13	3	3	6
"ENSG00000263628"	"MIR3155A"	1	0	1	0	6	0
"ENSG00000283634"	"MIR3155B"	0	0	0	0	0	0
"ENSG00000238366"	"NA"	0	0	0	1	0	0
"ENSG00000226705"	"SDCBPP1"	1	1	19	0	9	0
"ENSG00000107719"	"PALD1"	32	67	48	176	198	50
"ENSG00000095539"	"SEMA4G"	43	56	184	97	108	54
"ENSG00000252994"	"RNU6-1231P"	0	0	1	1	0	0
"ENSG00000148795"	"CYP17A1"	7	12	40	8	11	17
"ENSG00000236937"	"PTGES3P4"	0	0	0	0	0	0
"ENSG00000166275"	"BORCS7"	33	92	139	10	25	31
"ENSG00000270316"	"NA"	0	0	0	0	0	0
"ENSG00000283337"	"LOC124902567"	1	2	3	0	0	0
"ENSG00000214435"	"AS3MT"	0	2	2	2	1	0
"ENSG00000235266"	"NA"	3	3	8	0	2	31
"ENSG00000076685"	"NT5C2"	457	624	1292	364	824	805
"ENSG00000107731"	"UNC5B"	66	152	231	210	334	123
"ENSG00000198246"	"SLC29A3"	45	94	67	71	144	93
"ENSG00000077150"	"NFKB2"	24	57	34	30	66	31
"ENSG00000289739"	"NA"	0	1	5	12	6	4
"ENSG00000065613"	"SLK"	826	1792	1579	385	727	836
"ENSG00000065618"	"COL17A1"	17	23	42	10	26	37
"ENSG00000283788"	"MIR936"	0	0	0	0	0	0
"ENSG00000107960"	"STN1"	61	85	164	28	92	94
"ENSG00000107438"	"PDLIM1"	5	7	9	2	2	1
"ENSG00000173124"	"ACSM6"	27	171	70	11	77	36
"ENSG00000228403"	"NA"	0	5	0	0	0	0
"ENSG00000241577"	"NA"	1	0	0	0	0	1
"ENSG00000233665"	"NA"	1	7	6	7	4	9
"ENSG00000226576"	"NA"	2	0	8	2	0	1
"ENSG00000264800"	"MIR4294"	0	0	1	0	0	3
"ENSG00000165633"	"VSTM4"	76	109	122	67	87	78
"ENSG00000172538"	"FAM170B"	0	0	0	0	0	0
"ENSG00000165383"	"LRRC18"	0	0	1	0	0	0
"ENSG00000108242"	"CYP2C18"	2	4	3	1	2	0
"ENSG00000230338"	"NA"	0	0	0	0	0	0
"ENSG00000224920"	"NA"	0	0	1	1	0	2
"ENSG00000225276"	"MTND1P18"	0	1	0	0	0	0
"ENSG00000187021"	"PNLIPRP1"	0	2	0	1	2	0
"ENSG00000165863"	"SPMIP5"	1	25	8	6	12	11
"ENSG00000228195"	"NA"	83	226	116	28	62	194
"ENSG00000199664"	"RNU6-1266P"	0	2	14	5	6	1
"ENSG00000213513"	"NA"	16	8	16	8	40	6
"ENSG00000151208"	"DLG5"	303	582	884	1367	766	620
"ENSG00000243446"	"RN7SL284P"	1	0	1	3	7	2
"ENSG00000148606"	"POLR3A"	709	1115	1763	1116	1330	1161
"ENSG00000234612"	"H2AZP5"	0	0	0	1	0	0
"ENSG00000274686"	"NA"	1	0	3	1	1	0
"ENSG00000138326"	"RPS24"	183	640	589	140	237	209
"ENSG00000231957"	"GNAI2P2"	0	2	0	2	0	0
"ENSG00000283096"	"NA"	2	2	3	2	2	3
"ENSG00000244332"	"NA"	5	4	3	0	3	0
"ENSG00000119969"	"HELLS"	135	161	536	82	175	222
"ENSG00000188199"	"NUTM2B"	10	20	16	27	32	32
"ENSG00000108021"	"TASOR2"	761	1117	1653	451	845	1158
"ENSG00000119943"	"PYROXD2"	15	36	28	25	13	18
"ENSG00000107521"	"HPS1"	75	165	210	127	148	141
"ENSG00000289758"	"NA"	0	0	0	0	0	0
"ENSG00000067057"	"PFKP"	421	1052	569	739	894	508
"ENSG00000165630"	"PRPF18"	686	1123	1254	566	908	810
"ENSG00000200935"	"RNU6-1090P"	0	0	0	1	0	0
"ENSG00000175535"	"PNLIP"	0	0	0	0	0	0
"ENSG00000232091"	"NA"	0	0	0	0	0	0
"ENSG00000266200"	"PNLIPRP2"	0	0	1	0	0	0
"ENSG00000107819"	"SFXN3"	409	725	956	613	882	620
"ENSG00000214279"	"SCART1"	23	77	186	447	108	77
"ENSG00000204022"	"LIPJ"	3	11	36	1	3	12
"ENSG00000264717"	"NPY4R2"	0	5	0	0	0	0
"ENSG00000107833"	"NPM3"	33	28	33	56	70	29
"ENSG00000119919"	"NKX2-3"	0	0	0	0	0	0
"ENSG00000285932"	"NA"	2	0	2	2	1	5
"ENSG00000198018"	"ENTPD7"	119	166	398	94	157	197
"ENSG00000233690"	"EBAG9P1"	14	21	55	12	36	20
"ENSG00000119929"	"CUTC"	38	49	106	76	99	62
"ENSG00000014919"	"COX15"	139	145	351	65	127	107
"ENSG00000227351"	"NANOGP6"	0	3	0	1	4	0
"ENSG00000108091"	"CCDC6"	454	1407	985	244	489	453
"ENSG00000202190"	"NA"	3	14	31	2	9	10
"ENSG00000282121"	"NA"	0	8	3	0	0	0
